Sum of Age,Column Labels,,
Row Labels,F,M,Grand Total
AEROPORTO,253,172,425
ANDORINHAS,56198,25474,81672
ANTÔNIO HONÓRIO,7048,2937,9985
ARIOVALDO FAVALESSA,6191,3072,9263
BARRO VERMELHO,14154,4898,19052
BELA VISTA,45713,20973,66686
BENTO FERREIRA,27115,11163,38278
BOA VISTA,7131,2617,9748
BONFIM,62360,35192,97552
CARATOÍRA,67182,27776,94958
CENTRO,86274,55681,141955
COMDUSA,7045,4188,11233
CONQUISTA,18863,8203,27066
0,14525,7609,22134
1,4338,594,4932
CONSOLAÇÃO,31786,17534,49320
0,26416,17354,43770
1,5370,180,5550
CRUZAMENTO,33044,15499,48543
0,26624,15325,41949
1,6420,174,6594
DA PENHA,55500,24701,80201
0,47360,24027,71387
1,8140,674,8814
DE LOURDES,8887,4824,13711
0,8731,4805,13536
1,156,19,175
DO CABRAL,12677,6707,19384
0,9708,6171,15879
1,2969,536,3505
DO MOSCOSO,8242,5688,13930
0,6182,4862,11044
1,2060,826,2886
DO QUADRO,23672,10556,34228
0,20245,10433,30678
1,3427,123,3550
ENSEADA DO SUÁ,5966,3006,8972
0,5762,2981,8743
1,204,25,229
ESTRELINHA,13116,7205,20321
0,11807,6731,18538
1,1309,474,1783
FONTE GRANDE,16772,9306,26078
0,15187,8403,23590
1,1585,903,2488
FORTE SÃO JOÃO,41934,20648,62582
0,37188,20220,57408
1,4746,428,5174
FRADINHOS,6878,4913,11791
0,6308,4913,11221
1,570,,570
GOIABEIRAS,19293,8429,27722
0,18345,8304,26649
1,948,125,1073
GRANDE VITÓRIA,26619,13538,40157
0,23551,13324,36875
1,3068,214,3282
GURIGICA,41622,19192,60814
0,31055,18094,49149
1,10567,1098,11665
HORTO,4405,1685,6090
0,4205,1685,5890
1,200,,200
ILHA DAS CAIEIRAS,25001,11041,36042
0,18988,10630,29618
1,6013,411,6424
ILHA DE SANTA MARIA,47075,20674,67749
0,46487,20632,67119
1,588,42,630
ILHA DO BOI,953,749,1702
0,953,749,1702
ILHA DO FRADE,,354,354
0,,354,354
ILHA DO PRÍNCIPE,58980,21925,80905
0,46875,19979,66854
1,12105,1946,14051
ILHAS OCEÂNICAS DE TRINDADE,109,,109
0,109,,109
INHANGUETÁ,23092,13364,36456
0,20145,12736,32881
1,2947,628,3575
ITARARÉ,83931,41964,125895
0,75194,41099,116293
1,8737,865,9602
JABOUR,61574,29856,91430
0,53809,29579,83388
1,7765,277,8042
JARDIM CAMBURI,237529,99947,337476
0,232798,99415,332213
1,4731,532,5263
JARDIM DA PENHA,123018,51395,174413
0,122549,51395,173944
1,469,,469
JESUS DE NAZARETH,56873,28658,85531
0,49499,24648,74147
1,7374,4010,11384
JOANA D´ARC,35215,16762,51977
0,29904,15361,45265
1,5311,1401,6712
JUCUTUQUARA,18664,9784,28448
0,18112,9784,27896
1,552,,552
MÁRIO CYPRESTE,7093,6587,13680
0,6501,6587,13088
1,592,,592
MARIA ORTIZ,137699,67077,204776
0,135226,66648,201874
1,2473,429,2902
MARUÍPE,55380,25621,81001
0,52331,24979,77310
1,3049,642,3691
MATA DA PRAIA,18954,7846,26800
0,18654,7846,26500
1,300,,300
MONTE BELO,21106,8692,29798
0,21077,8650,29727
1,29,42,71
MORADA DE CAMBURI,2657,1275,3932
0,2657,1275,3932
NAZARETH,3532,1330,4862
0,3470,1330,4800
1,62,,62
NOVA PALESTINA,54783,22998,77781
0,44913,21993,66906
1,9870,1005,10875
PARQUE INDUSTRIAL,17,,17
0,17,,17
PARQUE MOSCOSO,24686,13398,38084
0,24454,13337,37791
1,232,61,293
PIEDADE,10000,4368,14368
0,7492,3979,11471
1,2508,389,2897
PONTAL DE CAMBURI,1387,823,2210
0,1161,823,1984
1,226,,226
PRAIA DO CANTO,37922,14802,52724
0,37922,14802,52724
PRAIA DO SUÁ,30300,15403,45703
0,26438,14810,41248
1,3862,593,4455
REDENÇÃO,37159,15102,52261
0,31080,15042,46122
1,6079,60,6139
REPÚBLICA,22483,11894,34377
0,22149,11862,34011
1,334,32,366
RESISTÊNCIA,101874,43991,145865
0,85483,43690,129173
1,16391,301,16692
ROMÃO,49285,26820,76105
0,42770,26753,69523
1,6515,67,6582
SÃO BENEDITO,30554,10816,41370
0,21223,9885,31108
1,9331,931,10262
SÃO CRISTÓVÃO,50078,21889,71967
0,45808,21537,67345
1,4270,352,4622
SÃO JOSÉ,46608,19846,66454
0,41491,19201,60692
1,5117,645,5762
SÃO PEDRO,58213,30010,88223
0,49869,28810,78679
1,8344,1200,9544
SANTA CECÍLIA,13281,5044,18325
0,12652,4967,17619
1,629,77,706
SANTA CLARA,11708,7308,19016
0,11168,7238,18406
1,540,70,610
SANTA HELENA,5027,1854,6881
0,4634,1638,6272
1,393,216,609
SANTA LÚCIA,13151,6781,19932
0,12812,6781,19593
1,339,,339
SANTA LUÍZA,11359,5741,17100
0,11189,5709,16898
1,170,32,202
SANTA MARTHA,77578,37533,115111
0,67110,34905,102015
1,10468,2628,13096
SANTA TEREZA,33457,14792,48249
0,28188,14176,42364
1,5269,616,5885
SANTO ANDRÉ,58633,25168,83801
0,45996,24905,70901
1,12637,263,12900
SANTO ANTÔNIO,72135,31321,103456
0,68550,30477,99027
1,3585,844,4429
SANTOS DUMONT,31841,16321,48162
0,26446,15191,41637
1,5395,1130,6525
SANTOS REIS,10978,6008,16986
0,7789,5651,13440
1,3189,357,3546
SEGURANÇA DO LAR,3154,1870,5024
0,3038,1858,4896
1,116,12,128
SOLON BORGES,15730,5289,21019
0,14695,5280,19975
1,1035,9,1044
TABUAZEIRO,74554,34958,109512
0,61994,34363,96357
1,12560,595,13155
UNIVERSITÁRIO,4645,1745,6390
0,4381,1745,6126
1,264,,264
VILA RUBIM,27189,10607,37796
0,24622,10441,35063
1,2567,166,2733
Grand Total,2794144,1305178,4099322
